,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
291,cap malheureux,mu,-19.98,57.61,24.0,2.1,83.0,20.0
292,abeche,td,13.83,20.83,24.37,1.97,28.0,0.0
294,pine bluff,us,34.23,-92.0,28.0,8.2,42.0,1.0
295,ranau,my,5.95,116.67,19.12,0.72,100.0,12.0
296,agirish,ru,61.92,63.02,-17.36,2.22,72.0,0.0
297,tiarei,pf,-17.53,-149.33,32.0,7.2,62.0,75.0
298,monticello,us,37.88,-109.34,10.62,4.57,23.0,0.0
299,bambous virieux,mu,-20.34,57.76,24.0,2.1,83.0,20.0
301,mwanza,mw,-15.61,34.52,21.52,2.02,93.0,44.0
302,sitangkai,ph,4.66,119.39,27.6,4.32,100.0,80.0
303,yellowknife,ca,62.45,-114.38,-17.0,5.7,49.0,90.0
304,maceio,br,-9.67,-35.74,27.0,3.1,78.0,0.0
305,baykit,ru,61.68,96.39,-6.38,5.92,76.0,68.0
306,verkhnyaya maksakovka,ru,61.63,50.97,-20.0,1.0,76.0,0.0
307,tongliao,cn,43.61,122.27,10.47,6.97,29.0,76.0
308,kavieng,pg,-2.57,150.8,27.4,3.92,100.0,88.0
309,araceli,ph,10.55,119.99,26.8,3.92,100.0,8.0
310,miri,my,4.41,114.01,23.1,1.17,100.0,64.0
311,baherden,tm,38.44,57.43,12.47,1.97,88.0,0.0
312,big rapids,us,43.7,-85.48,8.0,3.6,81.0,90.0
313,priladozhskiy,ru,59.85,31.48,-8.0,2.0,78.0,0.0
314,kadoma,zw,-18.34,29.91,18.65,4.67,90.0,8.0
315,sapul,ph,13.37,121.19,20.3,0.82,100.0,24.0
316,grand-santi,gf,4.27,-54.38,26.5,1.17,85.0,44.0
317,los banos,us,37.06,-120.85,21.0,1.52,32.0,1.0
318,grand gaube,mu,-20.01,57.66,24.0,2.1,83.0,20.0
319,sao filipe,cv,14.9,-24.5,21.27,6.37,98.0,0.0
321,yamada,jp,36.58,137.08,8.0,1.0,70.0,0.0
322,vaini,to,-21.2,-175.2,28.0,2.6,69.0,20.0
323,fairbanks,us,64.84,-147.72,-4.0,2.97,44.0,1.0
325,madridejos,es,39.47,-3.54,9.72,2.77,68.0,0.0
326,east london,za,-33.02,27.91,24.52,10.37,94.0,0.0
327,kavali,in,14.91,79.99,23.77,3.62,93.0,0.0
328,marrakesh,ma,31.63,-7.99,19.0,2.6,25.0,0.0
329,lesnoy,ru,59.78,52.13,-16.11,1.27,74.0,0.0
330,dothan,us,31.22,-85.39,24.0,1.5,50.0,90.0
331,northam,au,-31.65,116.67,8.0,1.62,87.0,0.0
332,kalabo,zm,-15.0,22.67,22.1,1.77,80.0,64.0
333,nador,ma,35.17,-2.93,13.0,0.5,82.0,0.0
334,buenos aires,cr,9.17,-83.33,30.52,0.87,54.0,0.0
335,bela vista,br,-22.11,-56.53,21.47,2.72,99.0,92.0
336,seymchan,ru,62.93,152.39,-15.66,1.02,68.0,76.0
337,nhlangano,sz,-27.11,31.2,14.97,1.02,95.0,12.0
338,shahr-e babak,ir,30.12,55.12,6.95,1.07,33.0,0.0
339,port-de-bouc,fr,43.4,4.98,13.0,2.1,100.0,0.0
340,jacqueville,ci,5.21,-4.42,28.0,3.1,88.0,40.0
341,kangaatsiaq,gl,68.31,-53.46,-16.31,0.87,100.0,32.0
342,mujiayingzi,cn,42.12,118.78,7.7,2.77,56.0,88.0
344,plettenberg bay,za,-34.05,23.37,21.27,6.22,87.0,0.0
345,tateyama,jp,36.66,137.31,8.0,1.0,70.0,0.0
346,roebourne,au,-20.77,117.15,25.62,1.92,91.0,0.0
347,spornoye,ru,50.84,37.29,1.0,4.0,100.0,90.0
348,cidreira,br,-30.17,-50.22,21.3,6.17,97.0,92.0
349,vanimo,pg,-2.67,141.3,26.77,1.12,100.0,88.0
351,serowe,bw,-22.4,26.7,18.87,4.67,85.0,0.0
352,barrow,us,39.51,-90.4,8.0,6.2,81.0,90.0
353,santiago del estero,ar,-27.8,-64.26,26.77,3.07,38.0,36.0
